Coin,Sentiment,total_pnl,trades,win_rate
FTT,Extreme Fear,9.813842000000001,12,0.3333333333333333
FTT,Extreme Greed,384.150912,226,0.3230088495575221
FTT,Fear,3026.88102,570,0.39649122807017545
FTT,Greed,894.572842,600,0.28833333333333333
FTT,Neutral,161.326012,40,0.325
FXS,Extreme Greed,-64.437356,14,0.0
FXS,Fear,101.726262,33,0.3333333333333333
FXS,Greed,147.01019,41,0.5121951219512195
FXS,Neutral,-306.228808,13,0.0
GALA,Extreme Fear,0.0,6,0.0
GALA,Fear,10.736339,2,0.5
GALA,Greed,70.341155,19,0.3157894736842105
GAS,Extreme Greed,60.6139,2,0.5
GMT,Extreme Fear,0.0,1,0.0
GMT,Fear,50.288782,35,0.5428571428571428
GMT,Greed,152.894646,35,0.37142857142857144
GMT,Neutral,0.2668,2,0.5
GMX,Extreme Greed,61.855318,57,0.45614035087719296
GMX,Fear,10.87812,5,0.6
GMX,Greed,4.289486,9,0.4444444444444444
GOAT,Extreme Fear,102.50732,1,1.0
GOAT,Extreme Greed,7714.837834,68,0.6323529411764706
GOAT,Fear,27.76545,2,0.5
GOAT,Greed,229.232666,26,0.5769230769230769
GRASS,Extreme Fear,44.727662,20,0.25
GRASS,Extreme Greed,132.48739,2,1.0
GRASS,Fear,-583.604196,62,0.3870967741935484
GRASS,Greed,135.09947,29,0.2413793103448276
GRASS,Neutral,441.224059,22,0.9545454545454546
GRIFFAIN,Fear,5767.48045,398,0.7336683417085427
GRIFFAIN,Greed,100.24504,1,1.0
HBAR,Extreme Fear,0.0,2,0.0
HBAR,Extreme Greed,637.48106,52,0.21153846153846154
HBAR,Fear,342.30474200000003,82,0.45121951219512196
HBAR,Greed,748.996467,73,0.5342465753424658
HBAR,Neutral,152.82600300000001,17,0.7058823529411765
HPOS,Extreme Fear,0.0,2,0.0
HPOS,Extreme Greed,1520.506898,59,0.559322033898305
HPOS,Greed,41.12001500000008,45,0.28888888888888886
HPOS,Neutral,415.968797,17,0.35294117647058826
HYPE,Extreme Fear,1359.117594,1310,0.38549618320610685
HYPE,Extreme Greed,336.71153499999997,108,0.21296296296296297
HYPE,Fear,804978.141058,38963,0.39391217308728793
HYPE,Greed,356477.54391300003,6679,0.47417278035634075
HYPE,Neutral,302.097654,50,0.54
ILV,Extreme Fear,0.0,1,0.0
ILV,Extreme Greed,1178.077943,22,0.5
ILV,Fear,-279.0688,18,0.0
ILV,Greed,4392.963602,110,0.4636363636363636
IMX,Extreme Fear,0.0,2,0.0
IMX,Extreme Greed,37.358421,10,0.7
IMX,Fear,17.272028,16,0.5625
IMX,Greed,431.19298799999996,17,0.5294117647058824
IMX,Neutral,27.414213000000004,3,1.0
INJ,Extreme Greed,5486.867018,86,0.6744186046511628
INJ,Fear,32.682104,22,0.7272727272727273
INJ,Greed,380.254955,48,0.5208333333333334
INJ,Neutral,19.974321,2,1.0
IO,Extreme Fear,0.5836,3,1.0
IO,Extreme Greed,-32.56077100000001,58,0.15517241379310345
IO,Fear,126.12043299999999,18,0.2777777777777778
IO,Greed,-22158.637121,236,0.09322033898305085
IO,Neutral,0.0,5,0.0
IP,Fear,3275.188104,466,0.5472103004291845
JELLY,Fear,20410.533559,691,0.804630969609262
JELLY,Greed,6904.064602,74,0.8243243243243243
JTO,Fear,8525.281925,64,0.421875
JTO,Greed,-24.632033999999997,4,0.0
JTO,Neutral,1.5568,2,0.5
JUP,Extreme Fear,21.279519999999998,12,0.16666666666666666
JUP,Extreme Greed,2086.378863,70,0.9571428571428572
JUP,Fear,44239.091516,509,0.4086444007858546
JUP,Greed,15.470944,19,0.10526315789473684
KAITO,Fear,-3890.177999,157,0.34394904458598724
LAYER,Fear,13189.0,158,0.08227848101265822
LDO,Extreme Greed,11.591396999999999,14,0.14285714285714285
LDO,Fear,77.600206,21,0.47619047619047616
LDO,Greed,52.407286,37,0.43243243243243246
LDO,Neutral,29.020816,4,1.0
LINK,Extreme Fear,0.0,2,0.0
LINK,Extreme Greed,150.499455,27,0.14814814814814814
LINK,Fear,784.302175,147,0.46938775510204084
LINK,Greed,123.68403400000001,87,0.41379310344827586
LINK,Neutral,175.368169,26,0.5384615384615384
LOOM,Extreme Greed,215.057055,5,0.4
LTC,Extreme Greed,0.0,2,0.0
LTC,Fear,2264.784408,97,0.5567010309278351
LTC,Greed,106.55968999999999,77,0.5584415584415584
LTC,Neutral,92.725126,8,1.0
MANTA,Extreme Greed,179.92768999999998,7,0.5714285714285714
MANTA,Fear,1221.761736,15,0.8666666666666667
MANTA,Greed,33.279226,69,0.3333333333333333
MANTA,Neutral,48.680254000000005,5,1.0
MATIC,Extreme Greed,868.393982,15,0.4
MATIC,Greed,70.585904,11,0.36363636363636365
MATIC,Neutral,-270.04886899999997,12,0.0
MAV,Extreme Greed,0.0189,2,0.5
MAVIA,Extreme Greed,1801.5562400000001,16,0.6875
MAVIA,Fear,3775.923644,189,0.708994708994709
ME,Extreme Greed,2767.02671,10,0.8
ME,Fear,12143.314458,288,0.3888888888888889
ME,Greed,775.948818,6,0.6666666666666666
MELANIA,Extreme Fear,0.0,27,0.0
MELANIA,Fear,162169.837479,2313,0.2831820146995244
MELANIA,Greed,8045.056928,81,0.08641975308641975
MEME,Extreme Greed,4003.630946,67,0.6119402985074627
MEME,Fear,540.39498,15,0.13333333333333333
MEME,Greed,5.457166,4,0.25
MEME,Neutral,2.584983,2,0.5
MERL,Fear,-3.17364,2,0.0
MEW,Extreme Fear,0.0,1,0.0
MEW,Greed,10.765288,8,0.625
MINA,Extreme Greed,198.7045,8,0.875
MKR,Fear,121.799513,75,0.4
MNT,Greed,-21.057177,8,0.125
MOODENG,Extreme Fear,0.0,3,0.0
MOODENG,Extreme Greed,128.779512,60,0.25
MOODENG,Greed,15917.071912000001,35,0.5428571428571428
MORPHO,Fear,421.871013,40,0.725
MOVE,Fear,1221.03465,49,0.8367346938775511
MOVE,Greed,-117.40452400000001,21,0.14285714285714285
MOVE,Neutral,0.0,1,0.0
